Esp,Rosen_1,Rosen_2,Rosen_3,Rosen_4,Rosen_5,Rosen_6,Rosen_7,Rosen_8,Rosen_9,Rosen_10,Rosen_total
PRE,Selfesteem J. ver. 1_Base,Selfesteem J. ver. 2_Base,Selfesteem J. ver. 3_Base,Selfesteem J. ver. 4_Base,Selfesteem J. ver. 5_Base,Selfesteem J. ver. 6_Base,Selfesteem J. ver. 7_Base,Selfesteem J. ver. 8_Base,Selfesteem J. ver. 9_Base,Selfesteem J. ver. 10_Base,666
POST,Selfesteem J. ver._1POST,Selfesteem J. ver._2POST,Selfesteem J. ver._3POST,Selfesteem J. ver._4POST,Selfesteem J. ver._5POST,Selfesteem J. ver._6POST,Selfesteem J. ver._7POST,Selfesteem J. ver._8POST,Selfesteem J. ver._9POST,Selfesteem J. ver._10POST,666
