Esp,psy_al1,psy_al2,psy_al3,psy_al4,psy_al5,psy_al6,psy_al7,psy_al8,psy_al9,psy_al10,psy_al11,psy_altotal,psy_del1,psy_del2,psy_del3,psy_del4,psy_del5,psy_del6,psy_deltotal
PRE,A_PSYRATS_H1,A_PSYRATS_H2,A_PSYRATS_H3,A_PSYRATS_H4,A_PSYRATS_H5,A_PSYRATS_H6,A_PSYRATS_H7,A_PSYRATS_H8,A_PSYRATS_H9,A_PSYRATS_H10,A_PSYRATS_H11,A_PSYRATS_Halluc_Total,A_PSYRATS_D1,A_PSYRATS_D2,A_PSYRATS_D3,A_PSYRATS_D4,A_PSYRATS_D5,A_PSYRATS_D6,A_PSYRATS_Delns_Total
POST,B_PSYRATS_H1,B_PSYRATS_H2,B_PSYRATS_H3,B_PSYRATS_H4,B_PSYRATS_H5,B_PSYRATS_H6,B_PSYRATS_H7,B_PSYRATS_H8,B_PSYRATS_H9,B_PSYRATS_H10,B_PSYRATS_H11,B_PSYRATS_Halluc_Total,B_PSYRATS_D1,B_PSYRATS_D2,B_PSYRATS_D3,B_PSYRATS_D4,B_PSYRATS_D5,B_PSYRATS_D6,B_PSYRATS_Delns_Total
