Esp,BCIS_1,BCIS_2,BCIS_3,BCIS_4,BCIS_5,BCIS_6,BCIS_7,BCIS_8,BCIS_9,BCIS_10,BCIS_11,BCIS_12,BCIS_13,BCIS_14,BCIS_15,BCIS_reflex,BCIS_certez,BCIS_total
PRE,A_BCIS_01,A_BCIS_02,A_BCIS_03,A_BCIS_04,A_BCIS_05,A_BCIS_06,A_BCIS_07,A_BCIS_08,A_BCIS_09,A_BCIS_10,A_BCIS_11,A_BCIS_12,A_BCIS_13,A_BCIS_14,A_BCIS_15,A_BCIS_Self_Reflect,A_BCIS_Self_Certainty,A_BCIS_Total
POST,B_BCIS_01,B_BCIS_02,B_BCIS_03,B_BCIS_04,B_BCIS_05,B_BCIS_06,B_BCIS_07,B_BCIS_08,B_BCIS_09,B_BCIS_10,B_BCIS_11,B_BCIS_12,B_BCIS_13,B_BCIS_14,B_BCIS_15,B_BCIS_Self_Reflect,B_BCIS_Self_Certainty,B_BCIS_Total
