Esp,DASS_1,DASS_2,DASS_3,DASS_4,DASS_5,DASS_6,DASS_7,DASS_8,DASS_9,DASS_10,DASS_11,DASS_12,DASS_13,DASS_14,DASS_15,DASS_16,DASS_17,DASS_18,DASS_19,DASS_20,DASS_21,DASS_D_Total,DASS_A_Total,DASS_S_Total
PRE,A_DASS_1_S1,A_DASS_2_A1,A_DASS_3_D1,A_DASS_4_A2,A_DASS_5_D2,A_DASS_6_S2,A_DASS_7_A3,A_DASS_8_S3,A_DASS_9_A4,A_DASS_10_D3,A_DASS_11_S4,A_DASS_12_S5,A_DASS_13_D4,A_DASS_14_S6,A_DASS_15_A5,A_DASS_16_D5,A_DASS_17_D6,A_DASS_18_S7,A_DASS_19_A6,A_DASS_20_A7,A_DASS_21_D7,A_DASS_D_Total,A_DASS_A_Total,A_DASS_S_Total
POST,B_DASS_1_S1,B_DASS_2_A1,B_DASS_3_D1,B_DASS_4_A2,B_DASS_5_D2,B_DASS_6_S2,B_DASS_7_A3,B_DASS_8_S3,B_DASS_9_A4,B_DASS_10_D3,B_DASS_11_S4,B_DASS_12_S5,B_DASS_13_D4,B_DASS_14_S6,B_DASS_15_A5,B_DASS_16_D5,B_DASS_17_D6,B_DASS_18_S7,B_DASS_19_A6,B_DASS_20_A7,B_DASS_21_D7,B_DASS_D_Total,B_DASS_A_Total,B_DASS_S_Total
