Esp,pannsp1,pannsp2,pannsp3,pannsp4,pannsp5,pannsp6,pannsp7,pannsn1,pannsn2,pannsn3,pannsn4,pannsn5,pannsn6,pannsn7,pannsg1,pannsg2,pannsg3,pannsg4,pannsg5,pannsg6,pannsg7,pannsg8,pannsg9,pannsg10,pannsg11,pannsg12,pannsg13,panssg14,panssg15,panssg16,panss_P,panss_N,panss_G,panss_T
PRE,A_PANSS_P1,A_PANSS_P2,A_PANSS_P3,A_PANSS_P4,A_PANSS_P5,A_PANSS_P6,A_PANSS_P7,A_PANSS_N1,A_PANSS_N2,A_PANSS_N3,A_PANSS_N4,A_PANSS_N5,A_PANSS_N6,A_PANSS_N7,A_PANSS_G1,A_PANSS_G2,A_PANSS_G3,A_PANSS_G4,A_PANSS_G5,A_PANSS_G6,A_PANSS_G7,A_PANSS_G8,A_PANSS_G9,A_PANSS_G10,A_PANSS_G11,A_PANSS_G12,A_PANSS_G13,A_PANSS_G14,A_PANSS_G15,A_PANSS_G16,A_PANSS_P_Total,A_PANSS_N_Total,A_PANSS_G_Total,A_PANSS_Total
POST,B_PANSS_P1,B_PANSS_P2,B_PANSS_P3,B_PANSS_P4,B_PANSS_P5,B_PANSS_P6,B_PANSS_P7,B_PANSS_N1,B_PANSS_N2,B_PANSS_N3,B_PANSS_N4,B_PANSS_N5,B_PANSS_N6,B_PANSS_N7,B_PANSS_G1,B_PANSS_G2,B_PANSS_G3,B_PANSS_G4,B_PANSS_G5,B_PANSS_G6,B_PANSS_G7,B_PANSS_G8,B_PANSS_G9,B_PANSS_G10,B_PANSS_G11,B_PANSS_G12,B_PANSS_G13,B_PANSS_G14,B_PANSS_G15,B_PANSS_G16,B_PANSS_P_Total,B_PANSS_N_Total,B_PANSS_G_Total,B_PANSS_Total
