Esp,pannsp1,pannsp2,pannsp3,pannsp4,pannsp5,pannsp6,pannsp7,pannsn1,pannsn2,pannsn3,pannsn4,pannsn5,pannsn6,pannsn7,pannsg1,pannsg2,pannsg3,pannsg4,pannsg5,pannsg6,pannsg7,pannsg8,pannsg9,pannsg10,pannsg11,pannsg12,pannsg13,panssg14,panssg15,panssg16,panss_P,panss_N,panss_G,panss_T
PRE,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,PANSS_W_POS_T0,PANSS_W_NEG_T0,666,666
POST,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,PANSS_W_POS_T1,PANSS_W_NEG_T1,666,666
