Esp,BCIS_1,BCIS_2,BCIS_3,BCIS_4,BCIS_5,BCIS_6,BCIS_7,BCIS_8,BCIS_9,BCIS_10,BCIS_11,BCIS_12,BCIS_13,BCIS_14,BCIS_15,BCIS_reflex,BCIS_certez,BCIS_total
PRE,BCIS1.1,BCIS2.1,BCIS3.1,BCIS4.1,BCIS5.1,BCIS6.1,BCIS7.1,BCIS8.1,BCIS9.1,BCIS10.1,BCIS11.1,BCIS12.1,BCIS13.1,BCIS14.1,BCIS15.1,BCIS_selfreflectiveness.1 ,BCIS_selfcertainty.1 ,BCIS_comp.1 
POST,BCIS1.2,BCIS2.2,BCIS3.2,BCIS4.2,BCIS5.2,BCIS6.2,BCIS7.2,BCIS8.2,BCIS9.2,BCIS10.2,BCIS11.2,BCIS12.2,BCIS13.2,BCIS14.2,BCIS15.2,BCIS_selfreflectiveness.2 ,BCIS_selfcertainty.2 ,BCIS_comp.2 
