Esp,qlq1,qlq2,qlq3,qlq4,qlq5,qlq6,qlq7,qlq8,qlq9,qlq10,qlq11,qlq12,qlq13,qlq14,qlq15,qlq16,qlq17,qlq18
PRE,Q-LES-Q-18 (T0) 1,Q-LES-Q-18 (T0) 2,Q-LES-Q-18 (T0) 3,Q-LES-Q-18 (T0) 4,Q-LES-Q-18 (T0) 5,Q-LES-Q-18 (T0) 6,Q-LES-Q-18 (T0) 7,Q-LES-Q-18 (T0) 8,Q-LES-Q-18 (T0) 9,Q-LES-Q-18 (T0) 10,Q-LES-Q-18 (T0) 11,Q-LES-Q-18 (T0) 12,Q-LES-Q-18 (T0) 13,Q-LES-Q-18 (T0) 14,Q-LES-Q-18 (T0) 15,Q-LES-Q-18 (T0) 16,Q-LES-Q-18 (T0) 17,Q-LES-Q-18 (T0) 18
POST,Q-LES-18 post 1,Q-LES-18 post 2,Q-LES-18 post 3,Q-LES-18 post 4,Q-LES-18 post 5,Q-LES-18 post 6,Q-LES-18 post 7,Q-LES-18 post 8,Q-LES-18 post 9,Q-LES-18 post 10,Q-LES-18 post 11,Q-LES-18 post 12,Q-LES-18 post 13,Q-LES-18 post 14,Q-LES-18 post 15,Q-LES-18 post 16,Q-LES-18 post 17,Q-LES-18 post 18
