Esp,pannsp1,pannsp2,pannsp3,pannsp4,pannsp5,pannsp6,pannsp7,pannsn1,pannsn2,pannsn3,pannsn4,pannsn5,pannsn6,pannsn7,pannsg1,pannsg2,pannsg3,pannsg4,pannsg5,pannsg6,pannsg7,pannsg8,pannsg9,pannsg10,pannsg11,pannsg12,pannsg13,panssg14,panssg15,panssg16,panss_P,panss_N,panss_G,panss_T
PRE,P1_0,P2_0,P3_0,P4_0,P5_0,P6_0,P7_0,666,666,666,N4_0,666,666,666,666,G2_0,666,666,666,G6_0,666,666,G9_0,666,666,666,666,666,666,G16_0,PANSSP0,666,666,666
POST,P1_1,P2_1,P3_1,P4_1,P5_1,P6_1,P7_1,666,666,666,N4_1,666,666,666,666,G2_1,666,666,666,G6_1,666,666,G9_1,666,666,666,666,666,666,G16_1,PANSSP1,666,666,666
