Esp,pannsp1,pannsp2,pannsp3,pannsp4,pannsp5,pannsp6,pannsp7,pannsn1,pannsn2,pannsn3,pannsn4,pannsn5,pannsn6,pannsn7,pannsg1,pannsg2,pannsg3,pannsg4,pannsg5,pannsg6,pannsg7,pannsg8,pannsg9,pannsg10,pannsg11,pannsg12,pannsg13,panssg14,panssg15,panssg16,panss_P,panss_N,panss_G,panss_T
PRE,PAP1.1,PAP2.1,PAP3.1,PAP4.1,PAP5.1,PAP6.1,PAP7.1,PAN1.1,PAN2.1,PAN3.1,PAN4.1,PAN5.1,PAN6.1,PAN7.1,PAG1.1,PAG2.1,PAG3.1,PAG4.1,PAG5.1,PAG6.1,PAG7.1,PAG8.1,PAG9.1,PAG10.1,PAG11.1,PAG12.1,PAG13.1,PAG14.1,PAG15.1,PAG16.1,666,666,666,666
POST,PAP1.2,PAP2.2,PAP3.2,PAP4.2,PAP5.2,PAP6.2,PAP7.2,PAN1.2,PAN2.2,PAN3.2,PAN4.2,PAN5.2,PAN6.2,PAN7.2,PAG1.2,PAG2.2,PAG3.2,PAG4.2,PAG5.2,PAG6.2,PAG7.2,PAG8.2,PAG9.2,PAG10.2,PAG11.2,PAG12.2,PAG13.2,PAG14.2,PAG15.2,PAG16.2,666,666,666,666
