Esp,BCIS_1,BCIS_2,BCIS_3,BCIS_4,BCIS_5,BCIS_6,BCIS_7,BCIS_8,BCIS_9,BCIS_10,BCIS_11,BCIS_12,BCIS_13,BCIS_14,BCIS_15,BCIS_reflex,BCIS_certez,BCIS_total
PRE,BCIS_1_PRE,BCIS_2_PRE,BCIS_3_PRE,BCIS_4_PRE,BCIS_5_PRE,BCIS_6_PRE,BCIS_7_PRE,BCIS_8_PRE,BCIS_9_PRE,BCIS_10_PRE,BCIS_11_PRE,BCIS_12_PRE,BCIS_13_PRE,BCIS_14_PRE,BCIS_15_PRE,666,666,666
POST,BCIS_1_POST,BCIS_2_POST,BCIS_3_POST,BCIS_4_POST,BCIS_5_POST,BCIS_6_POST,BCIS_7_POST,BCIS_8_POST,BCIS_9_POST,BCIS_10_POST,BCIS_11_POST,BCIS_12_POST,BCIS_13_POST,BCIS_14_POST,BCIS_15_POST,666,666,666
