Esp,BDI_1,BDI_2,BDI_3,BDI_4,BDI_5,BDI_6,BDI_7,BDI_8,BDI_9,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,BDI_tot
PRE,BDI_1_PRE,BDI_2_PRE,BDI_3_PRE,BDI_4_PRE,BDI_5_PRE,BDI_6_PRE,BDI_7_PRE,BDI_8_PRE,BDI_9_PRE,BDI_10_PRE,BDI_11_PRE,BDI_12_PRE,BDI_13_PRE,BDI_14_PRE,BDI_15_PRE,BDI_16_PRE,BDI_17_PRE,BDI_18_PRE,BDI_19_PRE,BDI_20_PRE,BDI_21_PRE,666
POST,BDI_1_POST,BDI_2_POST,BDI_3_POST,BDI_4_POST,BDI_5_POST,BDI_6_POST,BDI_7_POST,BDI_8_POST,BDI_9_POST,BDI_10_POST,BDI_11_POST,BDI_12_POST,BDI_13_POST,BDI_14_POST,BDI_15_POST,BDI_16_POST,BDI_17_POST,BDI_18_POST,BDI_19_POST,BDI_20_POST,BDI_21_POST,666
