Esp,pannsp1,pannsp2,pannsp3,pannsp4,pannsp5,pannsp6,pannsp7,pannsn1,pannsn2,pannsn3,pannsn4,pannsn5,pannsn6,pannsn7,pannsg1,pannsg2,pannsg3,pannsg4,pannsg5,pannsg6,pannsg7,pannsg8,pannsg9,pannsg10,pannsg11,pannsg12,pannsg13,panssg14,panssg15,panssg16,panss_P,panss_N,panss_G,panss_T
PRE,PANSS_P1_PRE,PANSS_P2_PRE,PANSS_P3_PRE,PANSS_P4_PRE,PANSS_P5_PRE,PANSS_P6_PRE,PANSS_P7_PRE,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666
POST,PANSS_P1_POST,PANSS_P2_POST,PANSS_P3_POST,PANSS_P4_POST,PANSS_P5_POST,PANSS_P6_POST,PANSS_P7_POST,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666
