Esp,BCIS_1,BCIS_2,BCIS_3,BCIS_4,BCIS_5,BCIS_6,BCIS_7,BCIS_8,BCIS_9,BCIS_10,BCIS_11,BCIS_12,BCIS_13,BCIS_14,BCIS_15,BCIS_reflex,BCIS_certez,BCIS_total
PRE,BCIS1_M1,BCIS2_M1,BCIS3_M1,BCIS4_M1,BCIS5_M1,BCIS6_M1,BCIS7_M1,BCIS8_M1,BCIS9_M1,BCIS10_M1,BCIS11_M1,BCIS12_M1,BCIS13_M1,BCIS14_M1,BCIS15_M1,BCIS_AR_M1,BCIS_AC_M1,BCIS_total_M1
POST,BCIS1_M2,BCIS2_M2,BCIS3_M2,BCIS4_M2,BCIS5_M2,BCIS6_M2,BCIS7_M2,BCIS8_M2,BCIS9_M2,BCIS10_M2,BCIS11_M2,BCIS12_M2,BCIS13_M2,BCIS14_M2,BCIS15_M2,BCIS_total_M2,BCIS_AR_M2,BCIS_AC_M2
