Esp,ipsaq_1,ipsaq_2,ipsaq_3,ipsaq_4,ipsaq_5,ipsaq_6,ipsaq_7,ipsaq_8,ipsaq_9,ipsaq_10,ipsaq_11,ipsaq_12,ipsaq_13,ipsaq_14,ipsaq_15,ipsaq_16,ipsaq_17,ipsaq_18,ipsaq_19,ipsaq_20,ipsaq_21,ipsaq_22,ipsaq_23,ipsaq_24,ipsaq_25,ipsaq_26,ipsaq_27,ipsaq_28,ipsaq_29,ipsaq_30,ipsaq_31,ipsaq_32,ipsaq_IP,ipsaq_IN,ipsaq_PP,ipsaq_PN,ipsaq_SP,ipsaq_SN,ipsaq_sesg_ext,ipsaq_sesg_per
PRE,666,666,666,IP1_1.1;ip1i.1;ip1a.1;ip1u.1,666,IP2_1.1;ip2i.1;ip2a.1;ip2u.1,IP3_1.1;ip3i.1;ip3a.1;ip3u.1,666,666,IP4_1.1;ip4i.1;ip4a.1;ip4u.1,666,,IP5_1.1;ip5i.1;ip5a.1;ip5u.1,IP6_1.1;ip6i.1;ip6a.1;ip6u.1,666,666,666,666,IP7_1.1;ip7i.1;ip7a.1;ip7u.1,IP8_1.1;ip8i.1;ip8a.1;ip8u.1,IP9_1.1;ip9i.1;ip9a.1;ip9u.1,IP10_1.1;ip10i.1;ip10a.1;ip10u.1,IP11_1.1;ip11i.1;ip11a.1;ip11u.1,IP12_1.1;ip12i.1;ip12a.1;ip12u.1,IP13_1.1;ip13i.1;ip13a.1;ip13u.1,IP14_1.1;ip14i.1;ip14a.1;ip14u.1,IP15_1.1;ip15i.1;ip15a.1;ip15u.1,666,IP16_1.1;ip16i.1;ip16a.1;ip16u.1,666,666,666,666,666,666,666,666,666,666,666
POST,666,666,666,IP1_1.2;ip1i.2;ip1a.2;ip1u.2,666,IP2_1.2;ip2i.2;ip2a.2;ip2u.2,IP3_1.2;ip3i.2;ip3a.2;ip3u.2,666,666,IP4_1.2;ip4i.2;ip4a.2;ip4u.2,666,666,IP5_1.2;ip5i.2;ip5a.2;ip5u.2,IP6_1.2;ip6i.2;ip6a.2;ip6u.2,666,666,666,666,IP7_1.2;ip7i.2;ip7a.2;ip7u.2,IP8_1.2;ip8i.2;ip8a.2;ip8u.2,IP9_1.2;ip9i.2;ip9a.2;ip9u.2,IP10_1.2;ip10i.2;ip10a.2;ip10u.2,IP11_1.2;ip11i.2;ip11a.2;ip11u.2,IP12_1.2;ip12i.2;ip12a.2;ip12u.2,IP13_1.2;ip13i.2;ip13a.2;ip13u.2,IP14_1.2;ip14i.2;ip14a.2;ip14u.2,IP15_1.2;ip15i.2;ip15a.2;ip15u.2,666,IP16_1.2;ip16i.2;ip16a.2;ip16u.2,666,666,666,666,666,666,666,666,666,666,666
